id;name;type;parent;min;max;regex;namespace;active;inferrable;xpath;message_field
699;verProc;E;678;1;1;"^[!a-zA-Z0-9#$%()*+,-.\/:;=?@\[\]^`{|}~]{1}[! a-zA-Z0-9#$%()*+,-.\/:;=?@\[\]^`{|}~]{0,18}[!a-zA-Z0-9#$%()*+,-.\/:;=?@\[\]^`{|}~]{1}|[!a-zA-Z0-9#$%()*+,-.\/:;=?@\[\]^`{|}~]{1}$";;1;1;//xs:enviNFe//xs:NFe//xs:infNFe//xs:ide//xs:verProc;versao_aplicacao
700;grupo_contingencia;GA;678;0;1;;;1;1;//xs:enviNFe//xs:NFe//xs:infNFe//xs:ide;
701;dhCont;E;700;1;1;^(((20(([02468][048])|([13579][26]))-02-29))|(20[0-9][0-9])-((((0[1-9])|(1[0-2]))-((0[1-9])|(1\d)|(2[0-8])))|((((0[13578])|(1[02]))-31)|(((0[1,3-9])|(1[0-2]))-(29|30)))))T(20|21|22|23|[0-1]\d):[0-5]\d:[0-5]\d([\-,\+](0[0-9]|10|11):00|([\+](12):00))$;;1;1;//xs:enviNFe//xs:NFe//xs:infNFe//xs:ide//xs:dhCont;
702;xJust;E;700;1;1;"^[!a-zA-Z0-9#$%()*+,-.\/:;=?@\[\]^`{|}~]{1}[! a-zA-Z0-9#$%()*+,-.\/:;=?@\[\]^`{|}~]{13,254}[!a-zA-Z0-9#$%()*+,-.\/:;=?@\[\]^`{|}~]{1}$";;1;1;//xs:enviNFe//xs:NFe//xs:infNFe//xs:ide//xs:xJust;justificativa_contingencia
703;NFref;G;678;0;500;;;1;0;//xs:enviNFe//xs:NFe//xs:infNFe//xs:ide//xs:NFref;notas_referenciadas
704;grupo_refnfe;CGA;703;1;1;;;1;0;;
705;refNFe;CE;704;1;1;^[0-9]{44}$;;1;0;//xs:enviNFe//xs:NFe//xs:infNFe//xs:ide//xs:NFref//xs:refNFe;chave_nota_referenciada
706;refNF;CG;703;1;1;;;1;0;//xs:enviNFe//xs:NFe//xs:infNFe//xs:ide//xs:NFref//xs:refNF;
707;cUF;E;706;1;1;^(11|12|13|14|15|16|17|21|22|23|24|25|26|27|28|29|31|32|33|35|41|42|43|50|51|52|53)$;;1;0;//xs:enviNFe//xs:NFe//xs:infNFe//xs:ide//xs:NFref//xs:refNF//xs:cUF;codigo_uf_referenciado
708;AAMM;E;706;1;1;^([0-9]{2}[0]{1}[1-9]{1}|[0-9]{2}[1]{1}[0-2]{1})$;;1;0;//xs:enviNFe//xs:NFe//xs:infNFe//xs:ide//xs:NFref//xs:refNF//xs:AAMM;ano_mes_referenciado
709;CNPJ;E;706;1;1;^[0-9]{14}$;;1;0;//xs:enviNFe//xs:NFe//xs:infNFe//xs:ide//xs:NFref//xs:refNF//xs:CNPJ;cpf_cnpj_referenciado
710;mod;E;706;1;1;^(01|02)$;;1;0;//xs:enviNFe//xs:NFe//xs:infNFe//xs:ide//xs:NFref//xs:refNF//xs:mod;modelo_referenciado
711;serie;E;706;1;1;^0|[1-9]{1}[0-9]{0,2}$;;1;0;//xs:enviNFe//xs:NFe//xs:infNFe//xs:ide//xs:NFref//xs:refNF//xs:serie;serie_referenciada
712;nNF;E;706;1;1;^[1-9]{1}[0-9]{0,8}$;;1;0;//xs:enviNFe//xs:NFe//xs:infNFe//xs:ide//xs:NFref//xs:refNF//xs:nNF;numero_documento_referenciado
713;refNFP;CG;703;1;1;;;1;0;//xs:enviNFe//xs:NFe//xs:infNFe//xs:ide//xs:NFref//xs:refNFP;
714;cUF;E;713;1;1;^(11|12|13|14|15|16|17|21|22|23|24|25|26|27|28|29|31|32|33|35|41|42|43|50|51|52|53)$;;1;0;//xs:enviNFe//xs:NFe//xs:infNFe//xs:ide//xs:NFref//xs:refNFP//xs:cUF;codigo_uf_referenciado
715;AAMM;E;713;1;1;^([0-9]{2}[0]{1}[1-9]{1}|[0-9]{2}[1]{1}[0-2]{1})$;;1;0;//xs:enviNFe//xs:NFe//xs:infNFe//xs:ide//xs:NFref//xs:refNFP//xs:AAMM;ano_mes_referenciado
716;CNPJ;CE;713;1;1;^[0-9]{14}$;;1;0;//xs:enviNFe//xs:NFe//xs:infNFe//xs:ide//xs:NFref//xs:refNFP//xs:CNPJ;cpf_cnpj_referenciado
717;CPF;CE;713;1;1;^[0-9]{11}$;;1;0;//xs:enviNFe//xs:NFe//xs:infNFe//xs:ide//xs:NFref//xs:refNFP//xs:CPF;cpf_cnpj_referenciado
718;IE;E;713;1;1;^ISENTO|[0-9]{2,14}$;;1;0;//xs:enviNFe//xs:NFe//xs:infNFe//xs:ide//xs:NFref//xs:refNFP//xs:IE;inscricao_estadual_referenciada
719;mod;E;713;1;1;^(04|01)$;;1;0;//xs:enviNFe//xs:NFe//xs:infNFe//xs:ide//xs:NFref//xs:refNFP//xs:mod;modelo_referenciado
720;serie;E;713;1;1;^0|[1-9]{1}[0-9]{0,2}$;;1;0;//xs:enviNFe//xs:NFe//xs:infNFe//xs:ide//xs:NFref//xs:refNFP//xs:serie;serie_referenciada
721;nNF;E;713;1;1;^[1-9]{1}[0-9]{0,8}$;;1;0;//xs:enviNFe//xs:NFe//xs:infNFe//xs:ide//xs:NFref//xs:refNFP//xs:nNF;numero_documento_referenciado
722;grupo_cte;CGA;703;1;1;;;1;0;;
723;refCTe;CE;722;1;1;^[0-9]{44}$;;1;0;//xs:enviNFe//xs:NFe//xs:infNFe//xs:ide//xs:NFref//xs:refCTe;chave_cte
724;refECF;CG;703;1;1;;;1;0;//xs:enviNFe//xs:NFe//xs:infNFe//xs:ide//xs:NFref//xs:refECF;
725;mod;E;724;1;1;^(2B|2C|2D)$;;1;0;//xs:enviNFe//xs:NFe//xs:infNFe//xs:ide//xs:NFref//xs:refECF//xs:mod;modelo_referenciado
726;nECF;E;724;1;1;^[0-9]{3}$;;1;0;//xs:enviNFe//xs:NFe//xs:infNFe//xs:ide//xs:NFref//xs:refECF//xs:nECF;numero_ecf
727;nCOO;E;724;1;1;^[0-9]{6}$;;1;0;//xs:enviNFe//xs:NFe//xs:infNFe//xs:ide//xs:NFref//xs:refECF//xs:nCOO;numero_coo
728;emit;G;675;1;1;;;1;0;//xs:enviNFe//xs:NFe//xs:infNFe//xs:emit;emissor
729;CNPJ;CE;728;1;1;^[0-9]{14}$;;1;0;//xs:enviNFe//xs:NFe//xs:infNFe//xs:emit//xs:CNPJ;cpf_cnpj
